SchemeCode,NAV,NAV_Date
101317,564.8234,2025-12-18
101349,260.0762,2025-12-18
101350,49.3216,2020-04-24
101351,10.9826,2025-12-18
101356,11.2171,2025-12-18
101357,51.6832,2025-12-18
101358,0.0,2015-09-07
101359,0.0,2020-06-18
101372,10.0545,2021-09-17
101373,53.4413,2025-12-18
101407,3743.4646,2025-12-18
101408,4536.982,2025-12-18
101409,1006.0602,2022-08-04
101491,60.3969,2025-12-18
101519,11.6715,2020-09-25
101520,36.0763,2020-09-25
101521,26.4425,2020-09-25
101524,10.6037,2020-09-25
101525,245.226,2025-12-18
101530,289.3734,2025-12-18
101538,65.2101,2025-12-18
101539,1408.8152,2025-12-18
101547,22.1042,2025-12-18
101548,48.9472,2025-12-18
101549,23.4157,2025-12-18
101551,65.3709,2025-12-18
101585,67.449,2025-12-18
101586,12.979,2025-12-18
101587,14.8933,2025-12-18
101588,55.7353,2025-12-18
101591,55.13,2025-12-18
101592,790.5,2025-12-18
101593,47.3826,2025-12-18
101594,487.269,2025-12-18
101605,13.5481,2022-09-23
101609,17.6782,2025-12-18
101617,105.4658,2025-12-18
101618,105.7358,2025-12-18
101619,561.0096,2025-12-18
101635,482.017,2025-12-18
101636,26.768,2025-12-18
101642,10.8508,2020-04-24
101643,73.5439,2020-04-24
101656,166.9452,2025-12-18
101657,42.7078,2025-12-18
101659,160.7113,2025-12-18
101665,54.3106,2025-12-18
101667,11.4887,2025-12-18
101669,15.0961,2025-12-18
101672,356.0774,2025-12-18
101685,42.5784,2025-12-18
101686,10.6571,2025-12-18
101703,29.7872,2022-09-23
101705,964.1134,2025-12-18
101706,31.66,2025-12-18
101714,1001.5157,2025-12-18
101737,26.6,2025-12-18
101738,453.44,2025-12-18
101746,212.4097,2025-12-18
101748,118.5022,2020-04-24
101750,450.7797,2020-04-24
101751,462.33,2020-04-24
101752,118.9171,2020-04-24
101753,118.6133,2015-09-28
101754,118.5142,2020-04-24
101755,100.5372,2020-04-24
101758,62.0064,2025-12-18
101759,12.2409,2022-09-16
101762,2047.753,2025-12-18
101763,81.173,2025-12-18
101764,761.618,2025-12-18
101765,35.466,2025-12-18
101766,164.1911,2025-12-18
101793,324.7401,2020-04-24
101794,101.397,2020-04-24
101795,300.7518,2020-04-24
101796,101.3988,2020-04-24
101797,218.1632,2015-06-15
101798,101.3966,2020-04-24
101799,100.025,2020-04-24
101800,100.0251,2020-04-24
101801,100.9403,2020-02-27
101802,438.1272,2025-12-18
101803,101.9908,2022-09-16
101804,101.276,2025-12-18
101805,42.4826,2025-12-18
101806,42.3497,2025-12-18
101807,10.2458,2021-03-16
101808,29.152,2020-01-14
101816,16.5575,2025-12-18
101818,68.2841,2025-12-18
101823,83.2092,2025-12-18
101824,516.2116,2025-12-18
101829,14.0059,2025-12-18
101830,40.6173,2025-12-18
101833,157.4334,2025-12-18
101834,235.2211,2025-12-18
101837,50.6999,2025-12-18
101838,11.1235,2025-12-18
101839,12.1829,2025-12-18
101840,11.1199,2025-12-18
101843,15.5554,2025-12-18
101844,48.9446,2025-12-18
101847,4863.9862,2025-12-18
101852,77.8269,2025-12-18
101853,224.4896,2025-12-18
101862,652.5698,2025-12-18
101863,652.5698,2025-12-18
101864,74.7722,2025-12-18
101866,13.0676,2025-12-18
101867,14.6346,2025-12-18
101868,12.5075,2025-12-18
101869,83.3139,2025-12-18
101872,90.0113,2025-12-18
101873,12.5905,2025-12-18
101874,11.6686,2025-12-18
101875,13.7524,2025-12-18
101892,1052.672,2025-12-18
101893,4626.0496,2025-12-18
101906,56.3241,2025-12-18
101909,34.9217,2022-09-23
101922,345.21,2025-12-18
101923,60.12,2025-12-18
